waktu,suhu_2,suhu_permukaan,kelembaban_tanah
2020-05-01 00:06:24,29.0,63.0,84.0
2020-05-01 00:06:27,29.0,63.0,84.0
2020-05-01 00:06:30,29.0,62.0,84.0
2020-05-01 00:06:33,29.0,62.0,84.0
2020-05-01 00:06:36,29.0,62.0,84.0
2020-05-01 00:06:39,29.0,62.0,84.0
2020-05-01 00:06:42,29.0,63.0,84.0
2020-05-01 00:06:45,29.0,63.0,84.0
2020-05-01 00:06:48,29.0,62.0,84.0
2020-05-01 00:06:51,29.0,62.0,84.0
2020-05-01 00:06:54,28.0,63.0,84.0
2020-05-01 00:06:57,28.0,63.0,84.0
2020-05-01 00:07:00,28.0,63.0,84.0
2020-05-01 00:07:03,29.0,62.0,84.0
2020-05-01 00:07:06,29.0,62.0,84.0
2020-05-01 00:07:09,29.0,62.0,84.0
2020-05-01 00:07:12,29.0,62.0,84.0
2020-05-01 00:07:15,29.0,63.0,84.0
2020-05-01 00:07:18,29.0,63.0,84.0
2020-05-01 00:07:21,29.0,62.0,84.0
2020-05-01 00:07:24,29.0,62.0,84.0
2020-05-01 00:07:27,29.0,62.0,84.0
2020-05-01 00:07:30,29.0,62.0,84.0
2020-05-01 00:07:33,29.0,63.0,85.0
2020-05-01 00:07:36,29.0,63.0,85.0
2020-05-01 00:07:39,29.0,63.0,85.0
2020-05-01 00:07:42,28.0,63.0,84.0
2020-05-01 00:07:45,28.0,63.0,84.0
2020-05-01 00:07:48,29.0,63.0,85.0
2020-05-01 00:07:51,29.0,63.0,85.0
2020-05-01 00:07:54,29.0,62.0,85.0
2020-05-01 00:07:57,29.0,62.0,85.0
2020-05-01 00:08:00,29.0,62.0,84.0
2020-05-01 00:08:03,29.0,62.0,84.0
2020-05-01 00:08:06,29.0,63.0,84.0
2020-05-01 00:08:09,29.0,63.0,84.0
2020-05-01 00:08:12,28.0,63.0,84.0
2020-05-01 00:08:15,28.0,63.0,84.0
2020-05-01 00:08:18,28.0,63.0,84.0
2020-05-01 00:08:21,29.0,62.0,84.0
2020-05-01 00:08:24,29.0,62.0,84.0
2020-05-01 00:08:27,29.0,62.0,84.0
2020-05-01 00:08:30,29.0,62.0,84.0
2020-05-01 00:08:33,29.0,62.0,84.0
2020-05-01 00:08:36,29.0,62.0,84.0
2020-05-01 00:08:39,29.0,63.0,84.0
2020-05-01 00:08:42,29.0,63.0,84.0
2020-05-01 00:08:45,29.0,62.0,84.0
2020-05-01 00:08:48,29.0,62.0,84.0
2020-05-01 00:08:51,29.0,63.0,84.0
2020-05-01 00:08:54,29.0,63.0,84.0
2020-05-01 00:08:57,29.0,63.0,84.0
2020-05-01 00:09:00,29.0,63.0,84.0
2020-05-01 00:09:03,28.0,62.0,84.0
2020-05-01 00:09:06,28.0,62.0,84.0
2020-05-01 00:09:09,28.0,62.0,84.0
2020-05-01 00:09:12,29.0,63.0,84.0
2020-05-01 00:09:15,29.0,63.0,84.0
2020-05-01 00:09:18,29.0,63.0,84.0
2020-05-01 00:09:21,29.0,63.0,84.0
2020-05-01 00:09:24,29.0,62.0,84.0
2020-05-01 00:09:27,29.0,62.0,84.0
2020-05-01 00:09:30,28.0,63.0,84.0
2020-05-01 00:09:33,28.0,63.0,84.0
2020-05-01 00:09:36,29.0,63.0,84.0
2020-05-01 00:09:39,29.0,63.0,84.0
2020-05-01 00:09:42,29.0,63.0,84.0
2020-05-01 00:09:45,29.0,62.0,84.0
2020-05-01 00:09:48,29.0,62.0,84.0
2020-05-01 00:09:51,29.0,63.0,84.0
2020-05-01 00:09:54,29.0,63.0,84.0
2020-05-01 00:09:57,29.0,63.0,84.0
2020-05-01 00:10:00,29.0,63.0,84.0
2020-05-01 00:10:03,28.0,62.0,84.0
2020-05-01 00:10:06,28.0,62.0,84.0
2020-05-01 00:10:09,29.0,62.0,84.0
2020-05-01 00:10:12,29.0,62.0,84.0
2020-05-01 00:10:15,29.0,63.0,84.0
2020-05-01 00:10:18,29.0,63.0,84.0
2020-05-01 00:10:21,29.0,63.0,84.0
2020-05-01 00:10:24,28.0,63.0,84.0
2020-05-01 00:10:27,28.0,63.0,84.0
2020-05-01 00:10:30,29.0,62.0,84.0
2020-05-01 00:10:33,29.0,62.0,84.0
2020-05-01 00:10:36,29.0,63.0,84.0
2020-05-01 00:10:39,29.0,63.0,84.0
2020-05-01 00:10:42,29.0,62.0,84.0
2020-05-01 00:10:45,29.0,62.0,84.0
2020-05-01 00:10:48,29.0,63.0,84.0
2020-05-01 00:10:51,29.0,63.0,84.0
2020-05-01 00:10:54,29.0,63.0,84.0
2020-05-01 00:10:57,29.0,63.0,84.0
2020-05-01 00:11:00,29.0,63.0,84.0
2020-05-01 00:11:03,29.0,63.0,84.0
2020-05-01 00:11:06,29.0,63.0,84.0
2020-05-01 00:11:09,29.0,64.0,84.0
2020-05-01 00:11:12,29.0,64.0,84.0
2020-05-01 00:11:15,29.0,63.0,84.0
2020-05-01 00:11:18,29.0,63.0,84.0
2020-05-01 00:11:21,29.0,62.0,84.0
2020-05-01 00:11:24,29.0,62.0,84.0
2020-05-01 00:11:27,29.0,62.0,84.0
2020-05-01 00:11:30,29.0,62.0,84.0
2020-05-01 00:11:33,29.0,62.0,84.0
2020-05-01 00:11:36,29.0,62.0,84.0
2020-05-01 00:11:39,29.0,62.0,84.0
2020-05-01 00:11:42,29.0,63.0,84.0
2020-05-01 00:11:45,29.0,63.0,84.0
2020-05-01 00:11:48,29.0,63.0,84.0
